集計年,工種,データ種別,件数
2016,土木,公告件数,1625
2016,舗装工,公告件数,0
2016,浚渫工（港湾）,公告件数,0
2016,浚渫工（河川）,公告件数,0
2016,地盤改良工,公告件数,0
2016,合計,公告件数,1625
2016,土木,ICT実施件数,584
2016,舗装工,ICT実施件数,0
2016,浚渫工（港湾）,ICT実施件数,0
2016,浚渫工（河川）,ICT実施件数,0
2016,地盤改良工,ICT実施件数,0
2016,合計,ICT実施件数,584
2016,合計,実施率,36%
2017,土木,公告件数,1952
2017,舗装工,公告件数,201
2017,浚渫工（港湾）,公告件数,28
2017,浚渫工（河川）,公告件数,0
2017,地盤改良工,公告件数,0
2017,合計,公告件数,2175
2017,土木,ICT実施件数,815
2017,舗装工,ICT実施件数,79
2017,浚渫工（港湾）,ICT実施件数,24
2017,浚渫工（河川）,ICT実施件数,0
2017,地盤改良工,ICT実施件数,0
2017,合計,ICT実施件数,912
2017,合計,実施率,42%
2018,土木,公告件数,1675
2018,舗装工,公告件数,203
2018,浚渫工（港湾）,公告件数,62
2018,浚渫工（河川）,公告件数,8
2018,地盤改良工,公告件数,0
2018,合計,公告件数,1947
2018,土木,ICT実施件数,960
2018,舗装工,ICT実施件数,80
2018,浚渫工（港湾）,ICT実施件数,57
2018,浚渫工（河川）,ICT実施件数,8
2018,地盤改良工,ICT実施件数,0
2018,合計,ICT実施件数,1104
2018,合計,実施率,57%
2019,土木,公告件数,2246
2019,舗装工,公告件数,340
2019,浚渫工（港湾）,公告件数,63
2019,浚渫工（河川）,公告件数,39
2019,地盤改良工,公告件数,22
2019,合計,公告件数,2397
2019,土木,ICT実施件数,1799
2019,舗装工,ICT実施件数,233
2019,浚渫工（港湾）,ICT実施件数,57
2019,浚渫工（河川）,ICT実施件数,34
2019,地盤改良工,ICT実施件数,9
2019,合計,ICT実施件数,1890
2019,合計,実施率,79%
2020,土木,公告件数,2420
2020,舗装工,公告件数,543
2020,浚渫工（港湾）,公告件数,64
2020,浚渫工（河川）,公告件数,28
2020,地盤改良工,公告件数,151
2020,合計,公告件数,2942
2020,土木,ICT実施件数,1994
2020,舗装工,ICT実施件数,342
2020,浚渫工（港湾）,ICT実施件数,63
2020,浚渫工（河川）,ICT実施件数,28
2020,地盤改良工,ICT実施件数,123
2020,合計,ICT実施件数,2396
2020,合計,実施率,81%
